APS,ABPS,SUBARP,MISS_MAC,Devi,TCP_Rate,ARP Spoofing,IP Spoofing,TAGS
17.0,167.0,-1,0, 0, 42.18181818181818,0,1,IP_SPOOFING
94.0,184.0,0,0, 0, 40.0,0,1,IP_SPOOFING
139.0,179.0,1,1, 2, 40.72727272727273,0,1,IP_SPOOFING
159.0,158.0,1,1, 2, 40.72727272727273,0,1,IP_SPOOFING
95.0,175.0,1,1, 3, 39.63636363636363,0,1,IP_SPOOFING
52.0,201.0,0,0, 4, 41.81818181818182,0,1,IP_SPOOFING
32.0,172.0,0,0, 4, 40.0,0,1,IP_SPOOFING
32.0,207.0,0,0, 4, 40.0,0,1,IP_SPOOFING
38.0,183.0,0,0, 4, 41.45454545454545,0,1,IP_SPOOFING
46.0,12.0,0,0, 4, 40.0,0,1,IP_SPOOFING
46.0,0.0,0,0, 4, 41.45454545454545,0,1,IP_SPOOFING
36.0,0.0,0,0, 4, 40.0,0,1,IP_SPOOFING
18.0,0.0,0,0, 4, 40.72727272727273,0,1,IP_SPOOFING
6.0,0.0,0,0, 4, 40.72727272727273,0,1,IP_SPOOFING
8.0,0.0,0,0, 4, 40.0,0,1,IP_SPOOFING
8.0,0.0,0,0, 4, 41.45454545454545,0,1,IP_SPOOFING
12.0,0.0,0,0, 4, 40.0,0,1,IP_SPOOFING
12.0,0.0,0,0, 4, 32.72727272727273,0,1,IP_SPOOFING
140.0,160.0,0,0, 0, 0.0,0,1,IP_SPOOFING
80.0,172.0,0,0, 0, 58.18181818181818,0,1,IP_SPOOFING
26.0,207.0,0,0, 1, 60.0,0,1,IP_SPOOFING
30.0,166.0,0,0, 1, 59.63636363636363,0,1,IP_SPOOFING
46.0,174.0,0,0, 2, 61.45454545454545,0,1,IP_SPOOFING
48.0,131.0,0,0, 2, 60.36363636363637,0,1,IP_SPOOFING
60.0,0.0,0,0, 2, 61.09090909090909,0,1,IP_SPOOFING
38.0,0.0,0,0, 2, 60.36363636363637,0,1,IP_SPOOFING
36.0,0.0,0,0, 2, 59.63636363636363,0,1,IP_SPOOFING
6.0,0.0,0,0, 2, 52.36363636363637,0,1,IP_SPOOFING
2.0,0.0,0,0, 2, 0.0,0,1,IP_SPOOFING
7.0,0.0,1,1, 3, 1.8181818181818181,0,1,IP_SPOOFING
6.0,153.0,0,0, 3, 0.36363636363636365,0,1,IP_SPOOFING
38.0,176.0,0,0, 3, 2.909090909090909,0,1,IP_SPOOFING
94.0,208.0,0,0, 3, 69.0909090909091,0,1,IP_SPOOFING
122.0,156.0,0,0, 3, 60.36363636363637,0,1,IP_SPOOFING
140.0,179.0,0,0, 3, 60.36363636363637,0,1,IP_SPOOFING
92.0,197.0,0,0, 3, 60.36363636363637,0,1,IP_SPOOFING
50.0,190.0,0,0, 3, 60.36363636363637,0,1,IP_SPOOFING
36.0,192.0,0,0, 3, 61.09090909090909,0,1,IP_SPOOFING
34.0,170.0,0,0, 3, 59.63636363636363,0,1,IP_SPOOFING
38.0,147.0,0,0, 3, 60.36363636363637,0,1,IP_SPOOFING
54.0,0.0,0,0, 3, 61.09090909090909,0,1,IP_SPOOFING
52.0,0.0,0,0, 3, 59.63636363636363,0,1,IP_SPOOFING
36.0,0.0,0,0, 3, 61.81818181818182,0,1,IP_SPOOFING
14.0,0.0,0,0, 3, 59.63636363636363,0,1,IP_SPOOFING
8.0,0.0,0,0, 3, 60.36363636363637,0,1,IP_SPOOFING
6.0,0.0,0,0, 3, 2.909090909090909,0,1,IP_SPOOFING
40.0,196.0,0,0, 0, 1.4545454545454546,0,1,IP_SPOOFING
86.0,184.0,0,0, 0, 39.27272727272727,0,1,IP_SPOOFING
106.0,153.0,0,0, 0, 60.36363636363637,0,1,IP_SPOOFING
128.0,183.0,0,0, 0, 61.09090909090909,0,1,IP_SPOOFING
78.0,215.0,0,0, 0, 59.63636363636363,0,1,IP_SPOOFING
62.0,193.0,0,0, 0, 61.09090909090909,0,1,IP_SPOOFING
52.0,170.0,0,0, 1, 60.72727272727273,0,1,IP_SPOOFING
52.0,152.0,0,0, 2, 60.0,0,1,IP_SPOOFING
58.0,129.0,0,0, 2, 61.81818181818182,0,1,IP_SPOOFING
52.0,0.0,0,0, 2, 59.63636363636363,0,1,IP_SPOOFING
48.0,0.0,0,0, 2, 60.36363636363637,0,1,IP_SPOOFING
28.0,0.0,0,0, 2, 61.09090909090909,0,1,IP_SPOOFING
16.0,0.0,0,0, 2, 59.63636363636363,0,1,IP_SPOOFING
3.0,1.0,1,1, 4, 61.81818181818182,0,1,IP_SPOOFING
7.0,0.0,1,1, 4, 60.36363636363637,0,1,IP_SPOOFING
5.0,0.0,1,1, 4, 10.909090909090908,0,1,IP_SPOOFING
7.0,0.0,1,1, 4, 1.4545454545454546,0,1,IP_SPOOFING
11.0,0.0,1,1, 4, 0.0,0,1,IP_SPOOFING
9.0,158.0,1,1, 4, 1.4545454545454546,0,1,IP_SPOOFING
34.0,133.0,0,0, 4, 0.0,0,1,IP_SPOOFING
110.0,183.0,0,0, 4, 14.545454545454545,0,1,IP_SPOOFING
134.0,162.0,0,0, 4, 204.36363636363637,0,1,IP_SPOOFING
128.0,179.0,0,0, 4, 197.0909090909091,0,1,IP_SPOOFING
54.0,198.0,0,0, 4, 204.36363636363637,0,1,IP_SPOOFING
40.0,187.0,0,0, 6, 146.9090909090909,0,1,IP_SPOOFING
37.0,190.0,1,1, 6, 0.0,0,1,IP_SPOOFING
41.0,209.0,1,1, 6, 1.4545454545454546,0,1,IP_SPOOFING
41.0,129.0,1,1, 6, 0.0,0,1,IP_SPOOFING
39.0,0.0,1,1, 0, 0.7272727272727273,0,1,IP_SPOOFING
30.0,0.0,0,0, 0, 0.7272727272727273,0,1,IP_SPOOFING
18.0,0.0,0,0, 0, 65.45454545454545,0,1,IP_SPOOFING
7.0,1.0,1,1, 2, 61.09090909090909,0,1,IP_SPOOFING
5.0,0.0,1,1, 2, 61.09090909090909,0,1,IP_SPOOFING
3.0,0.0,1,1, 2, 59.63636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0, 2, 61.81818181818182,0,1,IP_SPOOFING
