APS,ABPS,SUBARP,MISS_MAC,Devi,TCP_Rate,ARP Spoofing,IP Spoofing,TAGS
28.0,0.0,0,0,4,1.4545454545454546,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,0.0,0,0,0,0.0,0,0,Normal
54.0,7.0,0,0,7,60.0,0,1,IP_SPOOFING
8.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
4.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
50.0,189.0,0,0,232,20.363636363636363,0,1,IP_SPOOFING
10.0,0.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
12.0,217.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,0,1.0909090909090908,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.0,0,0,Normal
62.0,187.0,0,0,230,20.0,0,1,IP_SPOOFING
4.0,0.0,0,0,0,0.0,0,0,Normal
26.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
2.0,170.0,0,0,0,0.0,0,0,Normal
82.0,18.0,0,0,0,0.0,0,0,Normal
74.0,61.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
32.0,193.0,0,0,2,0.3636363636363636,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
52.0,173.0,0,0,261,21.09090909090909,0,1,IP_SPOOFING
4.0,0.0,0,0,0,0.0,0,0,Normal
90.0,146.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
102.0,192.0,0,0,2,1.4545454545454546,0,0,Normal
8.0,198.0,0,0,0,0.7272727272727273,0,0,Normal
6.0,0.0,0,0,6,60.36363636363637,0,1,IP_SPOOFING
66.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
34.0,188.0,6,1,0,1.4545454545454546,0,0,Normal
5.0,0.0,1,1,0,0.7272727272727273,0,0,Normal
2.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
51.0,0.0,1,1,0,1.4545454545454546,0,0,Normal
34.0,149.0,0,0,0,1.4545454545454546,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
104.0,197.0,0,0,4,1.4545454545454546,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,0.0,0,0,2,0.0,0,0,Normal
10.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
8.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
78.0,93.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
132.0,191.0,0,0,0,0.0,0,0,Normal
33.0,165.0,11,1,0,1.4545454545454546,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
6.0,0.0,0,0,0,0.0,0,0,Normal
30.0,217.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
52.0,183.0,0,0,0,0.0,0,0,Normal
124.0,177.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
16.0,0.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,2,1.4545454545454546,0,0,Normal
4.0,0.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
12.0,0.0,0,0,234,20.0,0,1,IP_SPOOFING
8.0,0.0,0,0,0,1.0909090909090908,0,0,Normal
124.0,163.0,0,0,2,60.36363636363637,0,1,IP_SPOOFING
8.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
96.0,161.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
16.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
16.0,0.0,0,0,119,21.818181818181817,0,1,IP_SPOOFING
8.0,0.0,0,0,0,0.0,0,0,Normal
62.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
2.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
10.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
4.0,1.0,0,0,121,5.818181818181818,0,1,IP_SPOOFING
138.0,120.0,0,0,241,54.90909090909091,0,1,IP_SPOOFING
66.0,189.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,119,20.363636363636363,0,1,IP_SPOOFING
11.0,192.0,-7,0,0,1.4545454545454546,0,0,Normal
54.0,169.0,0,0,0,0.0,0,0,Normal
12.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
6.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
4.0,0.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
45.0,0.0,1,1,0,59.63636363636363,0,1,IP_SPOOFING
30.0,168.0,0,0,4,61.45454545454545,0,1,IP_SPOOFING
48.0,140.0,0,0,232,20.363636363636363,0,1,IP_SPOOFING
3.0,0.0,1,1,0,0.7272727272727273,0,0,Normal
56.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
78.0,3.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,2,0.0,0,0,Normal
4.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
43.0,174.0,1,1,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
12.0,0.0,0,0,0,0.0,0,0,Normal
136.0,185.0,0,0,261,21.09090909090909,0,1,IP_SPOOFING
16.0,93.0,0,0,0,1.4545454545454546,0,0,Normal
8.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
30.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,27.0,0,0,0,1.4545454545454546,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
70.0,196.0,0,0,0,0.0,0,0,Normal
134.0,164.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
32.0,216.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
4.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
10.0,179.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
116.0,193.0,0,0,236,21.09090909090909,0,1,IP_SPOOFING
6.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
2.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
68.0,0.0,0,0,0,0.0,0,0,Normal
4.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
28.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
8.0,0.0,0,0,261,20.363636363636363,0,1,IP_SPOOFING
4.0,0.0,0,0,0,0.7272727272727273,0,0,Normal
6.0,0.0,0,0,0,0.0,0,0,Normal
120.0,190.0,0,0,119,21.818181818181817,0,1,IP_SPOOFING
10.0,78.0,0,0,0,0.0,0,0,Normal
84.0,193.0,0,0,0,0.0,0,0,Normal
8.0,0.0,0,0,0,0.0,0,0,Normal
6.0,0.0,0,0,0,0.0,0,0,Normal
86.0,0.0,0,0,0,1.4545454545454546,0,0,Normal
