APS,ABPS,subARP,mis_match,subTCP,TCP_rate,ARP Spoofing,IP Spoofing
22,9881,2,1,0,0,1,0
12,9000,2,1,0,0,1,0
6,800,2,1,0,0,1,0
0,73,2,1,0,0,1,0
4,1872,4,1,0,0,1,0
4,0,4,1,0,0,1,0
2,82,2,1,0,0,1,0
18,194,2,1,0,0,1,0
126,207,2,1,0,0,1,0
160,204,2,1,0,0,1,0
72,200,2,1,0,0,1,0
60,258,2,1,0,0,1,0
56,195,2,1,0,0,1,0
60,81,2,1,0,0,1,0
46,0,2,1,0,0,1,0
28,0,2,1,0,0,1,0
10,0,2,1,0,0,1,0
4,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
0,0,2,1,0,0,1,0
0,23,2,1,0,0,1,0
6,232,2,1,0,0,1,0
106,216,2,1,0,0,1,0
144,191,2,1,0,0,1,0
100,187,2,1,0,0,1,0
48,214,2,1,0,0,1,0
44,192,2,1,0,0,1,0
44,172,2,1,0,0,1,0
50,13,2,1,0,0,1,0
50,0,2,1,0,0,1,0
36,0,2,1,0,0,1,0
10,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
2,0,2,1,0,0,1,0
2,103,2,1,0,0,1,0
38,262,2,1,0,0,1,0
132,225,2,1,0,0,1,0
148,218,2,1,0,0,1,0
66,206,2,1,0,0,1,0
36,169,2,1,0,0,1,0
34,210,2,1,0,0,1,0
52,21,2,1,0,0,1,0
55,1,3,1,0,0,1,0
39,0,3,1,0,0,1,0
15,0,3,1,0,0,1,0
8,0,2,1,0,0,1,0
4,0,1,1,0,0,1,0
0,0,0,1,0,0,1,0
0,71,-1,1,0,0,1,0
6,189,2,1,0,0,1,0
129,231,5,1,0,0,1,0
161,231,5,1,0,0,1,0
85,222,5,1,0,0,1,0
82,252,4,1,0,0,1,0
50,226,4,1,0,0,1,0
44,27,2,1,0,0,1,0
49,0,1,1,0,0,1,0
24,0,1,1,0,0,1,0
8,0,4,1,0,0,1,0
4,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
10,80,4,1,0,0,1,0
22,312,4,1,0,0,1,0
152,238,4,1,0,0,1,0
120,199,4,1,0,0,1,0
74,329,4,1,0,0,1,0
52,212,4,1,0,0,1,0
46,5,4,1,0,0,1,0
26,0,4,1,0,0,1,0
14,0,4,1,0,0,1,0
10,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
3,0,3,1,0,0,1,0
3,0,3,1,0,0,1,0
4,251,4,1,0,0,1,0
96,203,4,1,0,0,1,0
146,254,4,1,0,0,1,0
82,222,4,1,0,0,1,0
62,195,4,1,0,0,1,0
46,218,4,1,0,0,1,0
56,170,4,1,0,0,1,0
77,5,1,1,0,0,1,0
63,0,1,1,0,0,1,0
13,0,1,1,0,0,1,0
4,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
10,0,4,1,0,0,1,0
8,143,4,1,0,0,1,0
50,182,4,1,0,0,1,0
134,228,4,1,0,0,1,0
138,206,0,0,0,0,1,0
66,215,0,0,0,0,1,0
56,177,4,1,0,0,1,0
54,167,4,1,0,0,1,0
70,0,4,1,0,0,1,0
54,0,4,1,0,0,1,0
24,0,4,1,0,0,1,0
8,0,4,1,0,0,1,0
6,0,4,1,0,0,1,0
0,0,4,1,0,0,1,0
0,39,4,1,0,0,1,0
4,176,4,1,0,0,1,0
