APS,ABPS,SUBARP,MISS_MAC,Devi,TCP_Rate,ARP Spoofing,IP Spoofing,TAGS
0.0,1040.0,0,0, 0, 0.0,0,0,Normal
0.0,141.0,0,0, 0, 0.7272727272727273,0,0,Normal
57.0,188.0,1,1, 2, 1.4545454545454546,0,0,Normal
135.0,179.0,1,1, 2, 0.0,0,0,Normal
147.0,183.0,1,1, 0, 0.7272727272727273,0,0,Normal
87.0,157.0,1,1, 0, 0.7272727272727273,0,0,Normal
25.0,187.0,1,1, 0, 0.0,0,0,Normal
22.0,191.0,0,0, 0, 1.4545454545454546,0,0,Normal
34.0,202.0,0,0, 0, 0.7272727272727273,0,0,Normal
64.0,120.0,0,0, 0, 0.7272727272727273,0,0,Normal
66.0,0.0,0,0, 0, 0.0,0,0,Normal
55.0,0.0,1,1, 2, 1.4545454545454546,0,0,Normal
17.0,0.0,1,1, 0, 0.0,0,0,Normal
3.0,0.0,1,1, 0, 0.7272727272727273,0,0,Normal
4.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
8.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
12.0,0.0,0,0, 0, 0.0,0,0,Normal
8.0,198.0,0,0, 0, 0.7272727272727273,0,0,Normal
56.0,177.0,0,0, 0, 0.0,0,0,Normal
114.0,143.0,0,0, 0, 1.4545454545454546,0,0,Normal
140.0,155.0,0,0, 0, 0.0,0,0,Normal
88.0,197.0,0,0, 0, 0.7272727272727273,0,0,Normal
42.0,212.0,2,1, 2, 1.4545454545454546,0,0,Normal
29.0,188.0,1,1, 2, 0.0,0,0,Normal
32.0,193.0,0,0, 2, 0.36363636363636365,0,0,Normal
46.0,119.0,0,0, 0, 0.7272727272727273,0,0,Normal
64.0,0.0,0,0, 0, 0.0,0,0,Normal
48.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
20.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
0.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
0.0,0.0,0,0, 0, 0.0,0,0,Normal
4.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 0.0,0,0,Normal
13.0,1.0,1,1, 0, 0.7272727272727273,0,0,Normal
9.0,173.0,1,1, 2, 1.4545454545454546,0,0,Normal
49.0,163.0,1,1, 2, 0.0,0,0,Normal
110.0,178.0,0,0, 2, 1.4545454545454546,0,0,Normal
138.0,177.0,0,0, 2, 0.0,0,0,Normal
94.0,175.0,0,0, 0, 0.7272727272727273,0,0,Normal
64.0,193.0,0,0, 2, 0.0,0,0,Normal
50.0,159.0,0,0, 2, 0.0,0,0,Normal
40.0,161.0,0,0, 2, 1.4545454545454546,0,0,Normal
38.0,145.0,0,0, 2, 0.0,0,0,Normal
40.0,0.0,0,0, 4, 1.4545454545454546,0,0,Normal
36.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
24.0,0.0,0,0, 0, 0.0,0,0,Normal
10.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
6.0,0.0,0,0, 0, 0.0,0,0,Normal
10.0,0.0,0,0, 0, 0.0,0,0,Normal
6.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
10.0,149.0,0,0, 0, 0.0,0,0,Normal
30.0,132.0,0,0, 0, 0.0,0,0,Normal
90.0,215.0,0,0, 0, 1.4545454545454546,0,0,Normal
120.0,173.0,0,0, 0, 0.7272727272727273,0,0,Normal
102.0,180.0,0,0, 0, 0.7272727272727273,0,0,Normal
54.0,186.0,0,0, 0, 0.0,0,0,Normal
46.0,186.0,0,0, 0, 0.0,0,0,Normal
52.0,183.0,0,0, 0, 0.0,0,0,Normal
42.0,177.0,0,0, 0, 0.7272727272727273,0,0,Normal
56.0,1.0,0,0, 2, 1.4545454545454546,0,0,Normal
42.0,0.0,0,0, 2, 0.0,0,0,Normal
28.0,0.0,0,0, 4, 1.4545454545454546,0,0,Normal
2.0,0.0,0,0, 0, 0.7272727272727273,0,0,Normal
1.0,1.0,1,1, 2, 1.4545454545454546,0,0,Normal
5.0,0.0,1,1, 0, 0.7272727272727273,0,0,Normal
9.0,0.0,1,1, 0, 0.0,0,0,Normal
8.0,0.0,0,0, 0, 1.4545454545454546,0,0,Normal
10.0,169.0,0,0, 0, 0.0,0,0,Normal
46.0,204.0,0,0, 0, 1.4545454545454546,0,0,Normal
104.0,186.0,0,0, 0, 0.0,0,0,Normal
124.0,177.0,0,0, 0, 0.7272727272727273,0,0,Normal
82.0,158.0,0,0, 0, 0.0,0,0,Normal
24.0,151.0,0,0, 0, 0.0,0,0,Normal
31.0,198.0,1,1, 2, 1.4545454545454546,0,0,Normal
49.0,195.0,1,1, 0, 0.7272727272727273,0,0,Normal
63.0,189.0,1,1, 0, 0.7272727272727273,0,0,Normal
62.0,1.0,0,0, 0, 0.0,0,0,Normal
131.0,877.0,29,1, 0, 0.0,0,0,Normal
116.0,210.0,18,1, 0, 1.4545454545454546,0,0,Normal
69.0,179.0,13,1, 0, 0.0,0,0,Normal
50.0,168.0,8,1, 0, 0.0,0,0,Normal
35.0,150.0,9,1, 0, 0.0,0,0,Normal
27.0,163.0,7,1, 0, 0.7272727272727273,0,0,Normal
25.0,57.0,7,1, 0, 0.7272727272727273,0,0,Normal
51.0,0.0,3,1, 0, 0.0,0,0,Normal
